City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
507,Manavalakurichi,IN,78.89,clear sky,8.1333,77.3,Jebinrio home
509,Gorontalo,ID,85.24,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
511,Savannah Bight,HN,80.65,clear sky,16.45,-85.85,Villa on Dunbar Rock
513,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
515,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
519,Galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
524,Sandakan,MY,78.48,few clouds,5.8402,118.1179,Hotel Sandakan
528,Caninde,BR,76.01,overcast clouds,-4.3589,-39.3117,Hotel Casa Grande II
538,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
539,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
540,Boa Viagem,BR,76.5,overcast clouds,-5.1275,-39.7322,Inn and Steakhouse Aconchego
541,Necochea,AR,80.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
544,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
547,Waingapu,ID,82.78,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
548,Salto,UY,85.87,clear sky,-31.3833,-57.9667,Gran Hotel Uruguay
551,Botro,CI,78.28,few clouds,7.8525,-5.3106,Motel de la Station BOTRO
561,Lazaro Cardenas,MX,77.34,few clouds,17.9583,-102.2,quinta antigua
571,Daru,PG,83.97,overcast clouds,-9.0763,143.2092,Daru Lodge
574,Moroni,KM,80.74,broken clouds,-11.7022,43.2551,Hotel les Arcades
575,Axim,GH,80.06,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
580,Alyangula,AU,85.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
581,Katobu,ID,83.75,overcast clouds,-4.9408,122.5276,La Ode Husein
583,Cayenne,GF,80.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
586,Teahupoo,PF,78.53,light rain,-17.8333,-149.2667,Vanira Lodge
589,Sinnamary,GF,75.61,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
592,Santa Isabel Do Rio Negro,BR,75.83,broken clouds,-0.4139,-65.0192,Hotel GSA
594,Sorong,ID,82.35,few clouds,-0.8833,131.25,Waigo Splash Hotel
595,Muli,MV,82.17,broken clouds,2.9167,73.5667,Medhufushi Island Resort
597,Emerald,AU,87.94,overcast clouds,-23.5333,148.1667,The Irish Village
600,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
605,Monrovia,LR,80.15,broken clouds,6.3005,-10.7969,Sunset Inn
610,Salta,AR,79.09,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
623,Noumea,NC,84.18,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
624,Pundaguitan,PH,81.07,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
639,La Romana,DO,78.53,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
645,Maumere,ID,83.37,overcast clouds,-8.6199,122.2111,Sylvia Hotel
652,Impfondo,CG,78.03,broken clouds,1.6381,18.0667,Auberge La Place de Jules
655,Paciran,ID,81.63,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
656,Charters Towers,AU,89.94,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
662,Sao Miguel,BR,80.92,overcast clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
664,Sri Aman,MY,77.09,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
670,Lakes Entrance,AU,86.58,few clouds,-37.8811,147.981,The Esplanade Resort & Spa
673,Gondanglegi,ID,80.33,overcast clouds,-7.7479,112.0132,Rumah Mujiatin
674,Namatanai,PG,84.72,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
679,Santa Fe,AR,84.74,clear sky,-31.6333,-60.7,Conquistador Hotel
681,Andros Town,BS,75.16,overcast clouds,24.7,-77.7667,Hanks place
689,Mahajanga,MG,75.22,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
694,Dhidhdhoo,MV,80.2,overcast clouds,6.8833,73.1,Dhidhoo beach
