City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Airai,TL,-8.9266,125.4092,68.67,74,53,0.63,broken clouds
107,Medicine Hat,CA,50.0501,-110.6683,1.11,67,100,2.3,overcast clouds
108,Neepawa,CA,50.2289,-99.4664,-13.18,79,0,13.85,clear sky
109,Satipo,PE,-11.2522,-74.6386,70.45,88,59,1.54,broken clouds
110,Saskylakh,RU,71.9167,114.0833,6.71,91,100,11.12,overcast clouds
111,Miresu Mare,RO,47.5,23.3333,28.58,97,100,2.15,overcast clouds
112,Kristiinankaupunki,FI,62.2743,21.376,5.76,96,14,4.14,few clouds
113,Klaksvik,FO,62.2266,-6.589,43.72,89,85,36.15,overcast clouds
114,Roebourne,AU,-20.7833,117.1333,85.8,60,0,8.7,light rain
115,Caorle,IT,45.5966,12.8758,39.07,88,100,7.96,overcast clouds
116,Douentza,ML,14.9951,-2.9517,62.64,14,14,4.0,few clouds
117,Roald,NO,62.5833,6.1333,34.09,64,0,13.8,clear sky
118,Rimbey,CA,52.6334,-114.2353,4.12,94,87,7.0,overcast clouds
119,Nouakchott,MR,18.0858,-15.9785,69.73,27,100,10.87,overcast clouds
120,Prata,BR,-19.3072,-48.9242,68.45,97,73,7.58,broken clouds
121,Dehloran,IR,32.6941,47.2679,56.43,36,46,3.74,scattered clouds
122,Northam,GB,51.0333,-4.2167,46.09,96,100,3.33,overcast clouds
123,Ostrovnoy,RU,68.0531,39.5131,27.23,65,98,18.25,overcast clouds
124,Bubaque,GW,11.2833,-15.8333,79.45,70,97,19.26,overcast clouds
125,Korla,CN,41.7597,86.1469,23.92,65,100,5.84,overcast clouds
126,Port Lincoln,AU,-34.7333,135.8667,82.99,43,87,9.71,overcast clouds
127,Bintulu,MY,3.1667,113.0333,77.41,88,40,3.44,scattered clouds
128,Ossora,RU,59.2353,163.0719,12.97,95,98,6.6,overcast clouds
129,Dufftown,GB,57.4333,-3.1333,34.23,88,41,5.21,scattered clouds
130,Wanning,CN,18.8003,110.3967,70.14,83,81,4.09,broken clouds
131,San Jose,US,37.3394,-121.895,63.86,61,40,6.91,scattered clouds
132,Iqaluit,CA,63.7506,-68.5145,-25.31,67,0,5.99,clear sky
133,Salalah,OM,17.0151,54.0924,69.89,32,0,11.5,clear sky
134,Bambous Virieux,MU,-20.3428,57.7575,76.21,94,75,4.61,broken clouds
135,Tecoanapa,MX,16.5167,-98.75,80.71,67,96,6.51,overcast clouds
136,Pevek,RU,69.7008,170.3133,-15.88,100,98,1.5,overcast clouds
137,Redlands,US,34.0556,-117.1825,71.47,24,1,4.61,clear sky
138,Chuy,UY,-33.6971,-53.4616,69.64,78,0,12.82,clear sky
139,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,77,85,11.45,overcast clouds
140,Kuching,MY,1.55,110.3333,75.42,100,40,3.44,scattered clouds
141,Constitucion,CL,-35.3333,-72.4167,61.14,85,25,7.05,scattered clouds
142,Sitka,US,57.0531,-135.33,46.29,71,75,16.11,broken clouds
143,Antalaha,MG,-14.9003,50.2788,74.73,92,100,4.03,light rain
144,Nanning,CN,22.8167,108.3167,50.45,76,100,3.65,overcast clouds
145,Fortuna,US,40.5982,-124.1573,59.92,72,20,0.0,few clouds
146,Chabahar,IR,25.2919,60.643,64.26,44,0,5.46,clear sky
147,Menongue,AO,-14.6585,17.691,62.64,88,100,3.11,overcast clouds
148,Dikson,RU,73.5069,80.5464,-12.53,100,99,6.08,overcast clouds
149,Mahebourg,MU,-20.4081,57.7,76.24,94,75,4.61,broken clouds
150,Guiratinga,BR,-16.3494,-53.7583,72.77,89,12,0.89,few clouds
151,Sola,VU,-13.8833,167.55,90.27,62,40,5.75,scattered clouds
152,Xapuri,BR,-10.6517,-68.5044,73.22,93,92,3.0,overcast clouds
153,Pangnirtung,CA,66.1451,-65.7125,-25.44,88,64,5.19,broken clouds
154,Esperance,AU,-33.8667,121.9,63.18,65,100,15.93,overcast clouds
155,San Patricio,US,28.017,-97.5169,73.49,48,94,18.05,overcast clouds
156,Clyde River,CA,70.4692,-68.5914,-3.77,77,100,29.93,light snow
157,Linhai,CN,28.85,121.1167,42.93,80,100,0.81,overcast clouds
158,Bacolod,PH,10.6667,122.95,79.36,83,45,8.19,scattered clouds
159,Perth,AU,-31.9333,115.8333,70.03,50,0,16.11,clear sky
160,San Cristobal,VE,7.7669,-72.225,68.18,93,81,2.53,broken clouds
161,Progreso,MX,21.2833,-89.6667,82.51,81,12,16.82,few clouds
162,Katsuura,JP,35.1333,140.3,52.2,80,100,21.85,overcast clouds
163,Asau,RO,46.4333,26.4,33.28,98,100,3.56,overcast clouds
164,Grand Baie,MU,-20.0182,57.5802,76.44,87,76,3.0,broken clouds
165,Portland,US,45.5234,-122.6762,51.84,62,0,1.99,clear sky
166,Castro,BR,-24.7911,-50.0119,57.15,92,72,3.36,broken clouds
167,Chicama,PE,-7.8447,-79.1469,68.54,69,31,6.91,scattered clouds
168,Dugda,IN,23.75,86.1667,63.61,70,26,3.24,scattered clouds
169,Saint-Philippe,RE,-21.3585,55.7679,76.59,84,86,9.22,light rain
170,Ponta Delgada,PT,37.7333,-25.6667,60.49,82,75,14.97,broken clouds
171,Lasa,IT,46.6166,10.7002,26.37,84,78,4.5,broken clouds
172,Novoorsk,RU,51.381,58.9813,0.25,98,28,3.44,scattered clouds
173,Abnub,EG,27.2696,31.1511,53.11,42,58,8.01,broken clouds
174,Belyy Yar,RU,53.6039,91.3903,19.29,77,0,11.18,clear sky
175,Nokha,IN,27.6,73.4167,52.88,66,0,6.29,clear sky
176,Nuuk,GL,64.1835,-51.7216,14.61,79,75,1.14,light shower snow
177,Pisco,PE,-13.7,-76.2167,71.65,83,0,19.57,clear sky
178,Goundam,ML,16.4145,-3.6708,62.91,13,96,8.25,overcast clouds
179,Gemena,CD,3.25,19.7667,76.98,38,74,0.81,broken clouds
180,Labuhan,ID,-6.8844,112.2051,80.04,82,97,5.32,overcast clouds
181,Wahiawa,US,21.5028,-158.0236,77.79,63,20,4.61,few clouds
182,Lompoc,US,34.6391,-120.4579,67.1,80,0,12.66,clear sky
183,Kalininaul,RU,43.0712,46.5668,36.48,65,6,3.36,clear sky
184,Arraial Do Cabo,BR,-22.9661,-42.0278,70.38,90,100,5.59,overcast clouds
185,Aklavik,CA,68.2191,-135.0107,-24.77,98,9,3.0,clear sky
186,Berdigestyakh,RU,62.0989,126.6992,-41.26,100,74,1.77,broken clouds
187,Half Moon Bay,US,37.4636,-122.4286,63.48,71,0,5.75,clear sky
188,Dudinka,RU,69.4058,86.1778,-5.39,98,99,9.01,overcast clouds
189,Ust-Maya,RU,60.4167,134.5333,-41.71,100,97,0.58,overcast clouds
190,El Dorado,US,38.7666,-120.5177,53.46,38,22,6.87,few clouds
191,Jumla,NP,29.2747,82.1838,35.83,92,100,3.98,overcast clouds
192,Upernavik,GL,72.7868,-56.1549,2.23,98,100,9.6,overcast clouds
193,Port Macquarie,AU,-31.4333,152.9167,81.9,67,29,9.66,scattered clouds
194,Tual,ID,-5.6667,132.75,82.53,78,99,8.12,overcast clouds
195,Richards Bay,ZA,-28.783,32.0377,69.22,86,8,6.87,clear sky
196,Bereznik,RU,62.8551,42.7072,-0.08,100,98,2.82,overcast clouds
197,Fairbanks,US,64.8378,-147.7164,-11.2,77,75,4.61,broken clouds
198,Kulu,TR,39.0951,33.0799,41.79,88,100,3.51,overcast clouds
199,Vestmannaeyjar,IS,63.4427,-20.2734,40.64,96,100,44.63,moderate rain
200,Honiara,SB,-9.4333,159.95,86.86,65,96,8.34,overcast clouds
201,Platteville,US,42.7342,-90.4785,9.28,66,0,14.97,clear sky
